session_id,datetime,pps_count
"1528589672490c6d723d9-bbf6-f8ea-c8e0-723d1eeb4de0","2018-06-10 00:14:32.000",2
"152858968734266271da6-4bec-df47-09c4-8a4c8eff57e2","2018-06-10 00:14:46.000",1
"1528589689409f229b8e5-0e19-09be-95af-3d33dafbbbac","2018-06-10 00:14:49.000",1
"15285898468210aaac281-1659-3b0f-022e-3c285a010810","2018-06-10 00:15:25.000",46
"1528589724697dfd2dc0e-9076-7f40-be6b-73055e3f7806","2018-06-10 00:15:26.000",1
"15285897438740c7a8391-0e89-355c-5267-f804ee76eeb1","2018-06-10 00:15:44.000",47
"15285897446037c5500d3-a70b-ff4a-312f-a2b5753e8548","2018-06-10 00:15:46.000",1
"15285897534985ef0add1-81d8-5a7e-7790-c233d7399965","2018-06-10 00:15:54.000",13
"15285898156910729055f-ecf7-4450-7472-5988ad29c061","2018-06-10 00:16:03.000",8
"1528589808656e692c95e-fac2-af7c-7120-22eceda03faf","2018-06-10 00:16:46.000",4
"152858984840753cdc8a3-ad28-031c-42f3-0581c62499bd","2018-06-10 00:17:29.000",38
"1528589856659769f3a89-4dfc-80ce-05cc-ea36ba130780","2018-06-10 00:17:38.000",1
"15285898725060c668fcc-a1d9-d342-080d-3d0b60ab52a9","2018-06-10 00:17:56.000",1
"1528589887670e04bcd24-8ca9-6b00-95bf-39160d4e3d0f","2018-06-10 00:18:04.000",7
"152858988593388519bd7-69f8-23d6-ce86-b2756c502d0c","2018-06-10 00:18:06.000",48
"1528589892312ec561be9-6609-70f3-8869-9abb3c359aae","2018-06-10 00:18:11.000",1
"152858991197717cf7b54-28be-a1b9-bbf3-19ee3d0c7b0c","2018-06-10 00:18:31.000",1
"1528589938531eb1f557b-51bf-9346-d275-a30239247838","2018-06-10 00:18:58.000",9
"1528589938534531df216-b854-57cb-7c5f-e1addb9ebe60","2018-06-10 00:19:00.000",1
"1528589944813f2387658-4f54-8888-e33a-6600db445e25","2018-06-10 00:19:05.000",2
"1528589949588f270f588-beb9-03cf-dfb2-291c2707e70d","2018-06-10 00:19:10.000",42
"15285899563430f0711d1-c701-efc0-84fb-ff26de76c8c9","2018-06-10 00:19:16.000",1
"15285899561798d738ebf-36cf-553c-ff04-d44767018991","2018-06-10 00:19:17.000",1
"152858996155645e4fb41-1b75-e644-78e5-9165ea741a24","2018-06-10 00:19:23.000",4
"1528593934998c8f19324-c4c0-5726-8aac-20710fccc865","2018-06-10 00:19:31.000",2
"1528590033672d4fdf925-425d-04f1-01ab-f9db619d0efd","2018-06-10 00:20:32.000",1
"152859006109616fd0f71-a47d-6f21-f6ca-f64d3fec5231","2018-06-10 00:21:09.000",2
"15285900758077d391d08-955d-71f8-ad5c-3bec637e2871","2018-06-10 00:21:16.000",23
"1528593631511aacc9eb5-1668-8ad5-e85f-4a72a2db1923","2018-06-10 00:21:21.000",1
"15285900927301fdd8d68-fe31-46a7-5e8a-53fa0b5fde45","2018-06-10 00:21:34.000",45
"1528590112125f9ad4733-6074-ba65-9211-98f7aa85e78f","2018-06-10 00:21:53.000",1
"15285901132395f6f2632-8182-c561-4ebd-1e74bde7fe73","2018-06-10 00:21:53.000",47
"152859011729727256a7a-384b-c7c4-0cb3-b0534b32bfe6","2018-06-10 00:21:57.000",49
"1528590138636df35e3af-68d9-3ed6-eeb0-826fa8b0f94d","2018-06-10 00:22:20.000",2
"152859022754531d7501e-bbf4-5ece-4a85-65ebbd6a1432","2018-06-10 00:23:47.000",28
"15285902803492d3a8471-7416-3275-0701-36399919e8b1","2018-06-10 00:24:40.000",18
"15285902903133c661a35-a1f8-0ed4-8ec6-fe7f7b51df2f","2018-06-10 00:24:50.000",4
"152859029254738e068f6-893c-1289-0c7a-fec18a98c0a4","2018-06-10 00:24:52.000",1
"1528590297509010c9d78-55d5-b61f-9f6d-c05f88af779c","2018-06-10 00:24:57.000",2
"1528590406862ba2a4d03-31b0-68b0-db12-298bb59f5e29","2018-06-10 00:26:46.000",43
"15285904409921f872db3-835f-c906-e14f-7f9da2f286c5","2018-06-10 00:27:22.000",3
"15285904485025a0b9f89-c821-7615-333f-79478dac0a5e","2018-06-10 00:27:27.000",1
"1528590522718c95443d9-9d6f-7df0-4729-bea700678e4c","2018-06-10 00:27:58.000",6
"152859048015637769a09-86a5-0c0a-0358-46fd460698c6","2018-06-10 00:28:00.000",1
"152859049987167d72f21-1d8b-126e-f726-9ae8c9a91c6a","2018-06-10 00:28:20.000",19
"1528590519126309bb28d-6d38-6a01-4ff7-3d32da9daad5","2018-06-10 00:28:38.000",3
"1528590524905be679dcb-bf71-5f0c-7def-adb850762712","2018-06-10 00:28:46.000",1
"152859054188400389c83-1259-634d-be22-19ed26258908","2018-06-10 00:28:53.000",1
"1528590539654d3ffaf89-adae-51dd-5578-7b9081c6e60c","2018-06-10 00:29:01.000",8
"1528590613904b79692c5-3784-67f9-5e32-e79079e9cd0e","2018-06-10 00:30:15.000",22
"1528590626808424bbaac-c23d-750e-2e62-3072c86f1fd9","2018-06-10 00:30:27.000",1
"1528590627838126f6b6d-b3be-f5b4-e225-a055e5d82edc","2018-06-10 00:30:29.000",7
"15285906320770cd88dca-4080-395c-ee4e-b0ac9061d156","2018-06-10 00:30:38.000",1
"1528590639429102f0081-370e-6773-9421-625746687193","2018-06-10 00:30:39.000",1
